Datum;;Ergebnis kuenstl. Lawinenausloesung;Versuche kuenstl. Lawinenausloesung;Wetter zur Zeit der Beobachtung;Windrichtung;Windverfrachtung;WG ohne Verfrachtung;WG mit Verfrachtung;Windgeschwindigkeit;Wetter vom Vortag;Temperaturverlauf der letzen 24 h;Schneetemperatur;Lufttemperatur TM;Lufttemperatur TA;Windstaerke zur Zeit d. Beobachtung;Windstaerke vergangene Nacht;Windstaerke vom Vortag Nachmittag;Windstaerke vom Vortag Vormittag;Oberflaechencharakter Schneedecke;Oberflaechenform Schneedecke;Reif;Windrichtung zur Zeit d. Beobachtung;Windrichtung vergangene Nacht;Windrichtung vom Vortag Nachmittag;Windrichtung vom Vortag Vormittag;Einsinktiefe ABS;Einsinktiefe;Europ. Lawinengefahrenskala;Tourengelaende: Art zu erwartender Lawine;Europ. Lawinengefahrenskala;Strasse: Art der zu erwartenden Lawinen;Gelaendebeschaffenheit im Anrissgebiet;Groesse u. Zahl der Lawinen;Meereshoehe des Anrissgebietes;Exposition des Anrissgebietes;Lawinenart;Schneehoehe;Neuschneehoehe;
14.01.2000;;0,000;0,000;0,000;225,00;0;2;---;2,00;0,000;4,000;-12,0;-6,0;-10,0;1,000;1,000;1,000;1,000;9,000;1,000;0;180,000;180,000;180,000;180,000;27,00;20,000;2,000;6,000;1,000;6,000;0,000;0,000;0,000;0,000;0,000;47;0;
15.01.2000;;0,000;0,000;0,000;225,00;0;1;---;1,00;0,000;4,000;-13,0;-3,0;-6,0;0,000;1,000;1,000;1,000;9,000;1,000;0;---;180,000;180,000;180,000;27,00;20,000;2,000;6,000;1,000;6,000;0,000;0,000;0,000;0,000;0,000;47;0;
16.01.2000;;0,000;0,000;3,000;180,00;0;2;---;2,00;0,000;3,000;-12,0;1,0;-12,0;1,000;2,000;2,000;1,000;9,000;1,000;0;180,000;180,000;180,000;180,000;28,00;18,000;2,000;6,000;1,000;6,000;---;---;---;---;---;46;0;
17.01.2000;;0,000;0,000;71,000;315,00;0;2;---;2,00;1,000;4,000;-6,0;-8,0;-7,0;3,000;2,000;2,000;2,000;9,000;1,000;0;180,000;180,000;180,000;180,000;26,00;20,000;2,000;6,000;1,000;6,000;0,000;0,000;0,000;0,000;0,000;46;0;
18.01.2000;;0,000;0,000;72,000;315,00;1;2;---;2,00;8,000;4,000;-2,0;-3,0;-5,0;5,000;3,000;3,000;3,000;6,000;6,000;0;45,000;45,000;45,000;315,000;53,00;0,000;3,000;7,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;53;10;
19.01.2000;;0,000;0,000;74,000;315,00;1;2;---;2,00;8,000;3,000;-5,0;-4,0;-12,0;3,000;5,000;5,000;4,000;6,000;6,000;0;360,000;360,000;45,000;45,000;63,00;30,000;4,000;7,000;3,000;7,000;2,000;5,000;8,000;9,000;7,000;93;25;
20.01.2000;;0,000;0,000;0,000;315,00;0;2;---;2,00;3,000;2,000;-8,0;-11,0;-13,0;5,000;3,000;3,000;3,000;6,000;6,000;0;315,000;270,000;270,000;360,000;63,00;25,000;4,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;88;0;
21.01.2000;;0,000;0,000;73,000;45,00;0;2;---;2,00;3,000;4,000;-6,0;-5,0;-9,0;3,000;3,000;3,000;4,000;6,000;6,000;0;90,000;225,000;270,000;270,000;60,00;25,000;4,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;85;2;
22.01.2000;;0,000;0,000;71,000;360,00;0;1;---;1,00;7,000;2,000;-5,0;-8,0;-8,0;2,000;2,000;4,000;3,000;9,000;1,000;0;135,000;90,000;45,000;45,000;78,00;35,000;4,000;4,000;3,000;4,000;0,000;0,000;0,000;0,000;0,000;113;28;
23.01.2000;;0,000;0,000;71,000;180,00;0;1;---;1,00;7,000;3,000;-5,0;-7,0;-11,0;2,000;2,000;2,000;2,000;9,000;1,000;0;315,000;315,000;135,000;135,000;79,00;35,000;4,000;4,000;3,000;4,000;0,000;0,000;0,000;0,000;0,000;114;1;
24.01.2000;;0,000;0,000;74,000;---;1;1;---;1,00;7,000;3,000;-10,0;-10,0;-17,0;2,000;3,000;2,000;1,000;9,000;1,000;0;360,000;315,000;360,000;315,000;79,00;38,000;4,000;7,000;3,000;4,000;---;---;---;---;---;117;5;
25.01.2000;;0,000;0,000;0,000;180,00;0;1;---;1,00;1,000;2,000;-10,0;-17,0;-21,0;2,000;1,000;1,000;1,000;9,000;1,000;0;180,000;360,000;360,000;360,000;78,00;32,000;4,000;7,000;3,000;4,000;2,000;4,000;8,000;9,000;3,000;110;0;
26.01.2000;;0,000;0,000;0,000;180,00;0;1;---;1,00;0,000;2,000;-15,0;-13,0;-14,0;2,000;1,000;1,000;1,000;9,000;1,000;0;180,000;180,000;180,000;180,000;81,00;29,000;3,000;7,000;3,000;4,000;8,000;4,000;2,000;7,000;7,000;110;0;
27.01.2000;;0,000;0,000;0,000;180,00;0;2;---;2,00;0,000;5,000;-8,0;-3,0;-6,0;2,000;2,000;2,000;2,000;9,000;1,000;0;180,000;180,000;180,000;180,000;77,00;25,000;3,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;102;0;
28.01.2000;;0,000;0,000;0,000;180,00;0;1;---;1,00;0,000;4,000;-7,0;0,0;-12,0;1,000;2,000;1,000;1,000;9,000;1,000;0;225,000;225,000;180,000;180,000;73,00;25,000;3,000;7,000;3,000;2,000;8,000;5,000;9,000;9,000;5,000;98;0;
29.01.2000;;0,000;0,000;3,000;180,00;0;2;---;2,00;0,000;4,000;-5,0;-4,0;-4,0;3,000;3,000;2,000;3,000;9,000;1,000;0;225,000;180,000;270,000;270,000;76,00;20,000;3,000;7,000;2,000;2,000;0,000;0,000;0,000;0,000;0,000;96;0;
30.01.2000;;0,000;0,000;74,000;135,00;1;2;---;2,00;7,000;4,000;-1,0;1,0;-2,0;7,000;4,000;4,000;3,000;9,000;1,000;0;45,000;45,000;180,000;180,000;---;---;4,000;7,000;3,000;4,000;---;---;---;---;---;103;20;
31.01.2000;;0,000;0,000;3,000;45,00;0;---;---;1,00;1,000;4,000;-1,0;4,0;4,0;4,000;3,000;5,000;5,000;8,000;1,000;0;90,000;360,000;45,000;45,000;108,00;12,000;4,000;7,000;4,000;4,000;3,000;2,000;4,000;9,000;3,000;120;30;
01.02.2000;;0,000;0,000;0,000;---;0;---;---;---;0,000;2,000;-1,0;4,0;2,0;2,000;2,000;2,000;3,000;5,000;1,000;0;180,000;180,000;360,000;90,000;105,00;10,000;4,000;7,000;3,000;5,000;4,000;5,000;6,000;9,000;8,000;115;0;
02.02.2000;;0,000;0,000;3,000;360,00;0;---;---;---;0,000;4,000;-3,0;9,0;-1,0;2,000;2,000;3,000;2,000;5,000;1,000;0;180,000;180,000;180,000;180,000;102,00;10,000;3,000;5,000;3,000;5,000;0,000;0,000;0,000;0,000;0,000;112;0;
03.02.2000;;0,000;0,000;72,000;135,00;1;0;---;0,00;7,000;4,000;-1,0;5,0;-4,0;3,000;4,000;2,000;2,000;9,000;1,000;0;360,000;360,000;180,000;225,000;100,00;15,000;3,000;4,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;115;6;
04.02.2000;;0,000;0,000;0,000;360,00;1;0;---;0,00;8,000;3,000;-5,0;-4,0;-11,0;2,000;3,000;3,000;3,000;9,000;1,000;0;180,000;360,000;45,000;360,000;102,00;20,000;3,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;122;10;
05.02.2000;;0,000;0,000;71,000;---;0;0;---;0,00;0,000;4,000;-2,0;1,0;0,0;1,000;3,000;3,000;4,000;9,000;1,000;0;135,000;315,000;270,000;270,000;109,00;15,000;3,000;5,000;2,000;5,000;8,000;4,000;6,000;4,000;8,000;124;4;
06.02.2000;;0,000;0,000;3,000;360,00;0;0;---;0,00;5,000;1,000;-2,0;2,0;0,0;2,000;3,000;3,000;3,000;9,000;1,000;0;180,000;270,000;270,000;270,000;110,00;20,000;3,000;5,000;2,000;5,000;8,000;4,000;6,000;4,000;8,000;130;6;
07.02.2000;;0,000;0,000;3,000;45,00;0;0;---;0,00;0,000;4,000;-3,0;5,0;-3,0;2,000;2,000;2,000;2,000;9,000;1,000;0;180,000;180,000;180,000;180,000;106,00;18,000;3,000;5,000;2,000;5,000;5,000;2,000;4,000;8,000;3,000;124;0;
08.02.2000;;0,000;0,000;2,000;360,00;0;0;---;0,00;7,000;4,000;-1,0;2,0;0,0;3,000;2,000;1,000;1,000;9,000;1,000;0;225,000;180,000;180,000;180,000;102,00;20,000;3,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;122;0;
09.02.2000;;0,000;0,000;74,000;---;1;0;---;0,00;7,000;4,000;-1,0;6,0;-5,0;4,000;3,000;3,000;2,000;9,000;1,000;0;315,000;360,000;135,000;225,000;95,00;35,000;2,000;1,000;2,000;1,000;---;---;---;---;---;130;11;
10.02.2000;;0,000;0,000;71,000;---;1;---;0;0,00;8,000;3,000;-3,0;-5,0;-9,0;2,000;3,000;3,000;3,000;9,000;1,000;0;360,000;45,000;360,000;315,000;116,00;25,000;3,000;4,000;3,000;4,000;8,000;4,000;2,000;4,000;7,000;141;10;
11.02.2000;;0,000;0,000;3,000;180,00;0;---;1;1,00;0,000;4,000;-2,0;0,0;-3,0;2,000;2,000;1,000;2,000;9,000;1,000;0;180,000;225,000;180,000;270,000;120,00;15,000;2,000;6,000;2,000;6,000;0,000;0,000;0,000;0,000;0,000;135;0;
12.02.2000;;0,000;0,000;1,000;180,00;0;---;2;2,00;1,000;3,000;-1,0;-1,0;-6,0;1,000;1,000;1,000;2,000;9,000;1,000;0;180,000;180,000;315,000;180,000;120,00;13,000;2,000;1,000;2,000;1,000;---;---;---;---;---;133;5;
13.02.2000;;0,000;0,000;1,000;180,00;0;---;2;2,00;1,000;4,000;-2,0;0,0;-5,0;3,000;3,000;2,000;1,000;9,000;1,000;0;135,000;225,000;270,000;180,000;122,00;10,000;2,000;3,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;132;0;
14.02.2000;;0,000;0,000;73,000;---;0;3;---;3,00;7,000;4,000;-3,0;1,0;-7,0;3,000;2,000;3,000;3,000;9,000;1,000;0;45,000;315,000;180,000;180,000;103,00;42,000;3,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;145;16;
15.02.2000;;0,000;0,000;71,000;180,00;0;2;---;2,00;7,000;2,000;-3,0;-3,0;-2,0;5,000;3,000;3,000;2,000;9,000;1,000;0;270,000;270,000;135,000;45,000;109,00;30,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;139;1;
16.02.2000;;0,000;0,000;37,000;180,00;1;1;---;1,00;8,000;2,000;-3,0;-1,0;-1,0;4,000;3,000;2,000;3,000;9,000;1,000;0;225,000;225,000;135,000;135,000;121,00;25,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;146;10;
17.02.2000;;0,000;0,000;36,000;180,00;1;0;---;0,00;8,000;3,000;-7,0;-1,0;-13,0;3,000;3,000;3,000;3,000;9,000;1,000;0;315,000;315,000;360,000;360,000;119,00;40,000;4,000;7,000;3,000;7,000;8,000;4,000;4,000;9,000;8,000;159;17;
18.02.2000;;0,000;0,000;2,000;180,00;1;0;---;0,00;8,000;2,000;-7,0;-9,0;-12,0;3,000;3,000;2,000;2,000;9,000;1,000;0;45,000;45,000;225,000;270,000;124,00;35,000;4,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;159;7;
19.02.2000;;0,000;0,000;75,000;180,00;0;1;---;1,00;7,000;4,000;-5,0;-3,0;-6,0;1,000;2,000;3,000;3,000;9,000;1,000;0;180,000;180,000;180,000;45,000;127,00;65,000;4,000;8,000;3,000;8,000;---;---;---;---;---;192;35;
20.02.2000;;0,000;0,000;71,000;180,00;0;1;---;1,00;7,000;2,000;-6,0;-4,0;-9,0;1,000;2,000;1,000;3,000;9,000;1,000;0;315,000;360,000;135,000;135,000;128,00;85,000;4,000;8,000;3,000;8,000;---;---;---;---;---;213;32;
21.02.2000;;0,000;0,000;1,000;---;0;1;---;1,00;7,000;3,000;-9,0;-7,0;-13,0;3,000;3,000;2,000;1,000;9,000;1,000;0;360,000;360,000;45,000;45,000;156,00;57,000;5,000;8,000;4,000;8,000;4,000;7,000;9,000;9,000;8,000;213;8;
22.02.2000;;0,000;0,000;3,000;---;0;0;---;0,00;1,000;2,000;-12,0;-10,0;-13,0;2,000;3,000;2,000;2,000;9,000;1,000;0;315,000;270,000;315,000;270,000;163,00;38,000;4,000;4,000;3,000;4,000;0,000;0,000;0,000;0,000;0,000;201;0;
23.02.2000;;0,000;0,000;2,000;180,00;0;1;---;1,00;1,000;4,000;-6,0;-4,0;-9,0;3,000;2,000;1,000;3,000;9,000;1,000;0;90,000;270,000;180,000;270,000;160,00;32,000;4,000;4,000;3,000;4,000;0,000;0,000;0,000;0,000;0,000;192;0;
24.02.2000;;0,000;0,000;0,000;180,00;0;1;---;1,00;1,000;4,000;-7,0;-4,0;-7,0;3,000;1,000;0,000;2,000;9,000;1,000;0;180,000;---;---;90,000;168,00;22,000;4,000;4,000;3,000;5,000;0,000;0,000;0,000;0,000;0,000;190;0;
25.02.2000;;0,000;0,000;2,000;---;0;1;---;1,00;1,000;4,000;-3,0;0,0;2,0;2,000;2,000;4,000;2,000;8,000;1,000;0;135,000;180,000;270,000;180,000;172,00;20,000;3,000;4,000;3,000;5,000;0,000;0,000;0,000;0,000;0,000;192;2;
26.02.2000;;0,000;0,000;0,000;---;0;0;---;0,00;7,000;3,000;-1,0;---;-4,0;2,000;3,000;3,000;3,000;8,000;2,000;0;225,000;315,000;90,000;135,000;175,00;20,000;3,000;4,000;3,000;4,000;0,000;0,000;0,000;0,000;0,000;195;5;
27.02.2000;;0,000;0,000;0,000;180,00;0;1;---;1,00;0,000;4,000;-2,0;2,0;-5,0;2,000;2,000;2,000;2,000;5,000;1,000;0;225,000;225,000;180,000;225,000;178,00;10,000;3,000;4,000;3,000;4,000;2,000;5,000;8,000;4,000;8,000;188;0;
28.02.2000;;0,000;0,000;0,000;180,00;0;2;---;2,00;0,000;4,000;-8,0;2,0;-1,0;4,000;2,000;2,000;2,000;5,000;1,000;0;180,000;180,000;180,000;225,000;168,00;16,000;3,000;5,000;3,000;5,000;5,000;3,000;8,000;8,000;3,000;184;0;
29.02.2000;;0,000;0,000;2,000;270,00;0;3;---;3,00;0,000;4,000;-5,0;8,0;-3,0;2,000;3,000;5,000;3,000;5,000;3,000;0;225,000;225,000;180,000;180,000;166,00;12,000;3,000;5,000;3,000;5,000;8,000;4,000;2,000;9,000;6,000;178;0;
01.03.2000;;0,000;0,000;2,000;270,00;0;2;---;2,00;2,000;4,000;-3,0;4,0;-1,0;4,000;5,000;4,000;3,000;5,000;3,000;0;180,000;180,000;180,000;180,000;160,00;3,000;3,000;7,000;2,000;5,000;8,000;3,000;6,000;9,000;6,000;163;0;
02.03.2000;;0,000;0,000;2,000;270,00;1;2;---;2,00;8,000;3,000;-3,0;1,0;-10,0;5,000;3,000;2,000;2,000;9,000;1,000;0;45,000;360,000;360,000;225,000;162,00;19,000;3,000;4,000;2,000;4,000;0,000;0,000;0,000;0,000;0,000;181;16;
03.03.2000;;0,000;0,000;3,000;225,00;0;2;---;2,00;1,000;4,000;-3,0;-1,0;-3,0;2,000;3,000;3,000;3,000;9,000;1,000;0;225,000;270,000;45,000;45,000;166,00;10,000;3,000;7,000;2,000;5,000;8,000;4,000;3,000;8,000;6,000;176;0;
04.03.2000;;0,000;0,000;73,000;225,00;0;2;---;2,00;1,000;4,000;-2,0;6,0;-4,0;2,000;2,000;2,000;3,000;9,000;1,000;0;315,000;180,000;225,000;180,000;166,00;5,000;3,000;7,000;2,000;1,000;0,000;0,000;0,000;0,000;0,000;171;2;
05.03.2000;;0,000;0,000;72,000;225,00;1;0;---;0,00;8,000;3,000;-10,0;-4,0;-14,0;4,000;3,000;3,000;3,000;9,000;1,000;0;360,000;360,000;360,000;360,000;168,00;30,000;3,000;4,000;3,000;1,000;0,000;0,000;0,000;0,000;0,000;198;25;
06.03.2000;;0,000;0,000;0,000;180,00;0;1;---;1,00;7,000;5,000;-8,0;-6,0;-7,0;4,000;3,000;3,000;3,000;9,000;3,000;0;315,000;270,000;45,000;45,000;166,00;31,000;3,000;7,000;3,000;5,000;2,000;2,000;4,000;9,000;3,000;197;2;
07.03.2000;;0,000;0,000;0,000;225,00;0;1;---;1,00;0,000;4,000;-4,0;-2,0;0,0;4,000;3,000;3,000;3,000;9,000;3,000;0;270,000;225,000;270,000;270,000;179,00;10,000;3,000;5,000;2,000;5,000;2,000;2,000;8,000;8,000;3,000;189;0;
08.03.2000;;0,000;0,000;3,000;270,00;0;1;---;1,00;0,000;4,000;-3,0;5,0;0,0;6,000;3,000;2,000;3,000;9,000;3,000;0;270,000;270,000;270,000;225,000;175,00;8,000;3,000;7,000;2,000;5,000;8,000;2,000;2,000;8,000;2,000;183;0;
09.03.2000;;0,000;0,000;63,000;270,00;0;2;---;2,00;6,000;4,000;-1,0;4,0;3,0;4,000;3,000;3,000;3,000;8,000;3,000;0;315,000;135,000;135,000;180,000;170,00;7,000;3,000;4,000;3,000;5,000;8,000;5,000;9,000;9,000;4,000;177;0;
10.03.2000;;0,000;0,000;69,000;270,00;0;1;---;1,00;6,000;1,000;-1,0;4,0;3,0;4,000;3,000;0,000;3,000;8,000;3,000;0;270,000;135,000;---;360,000;171,00;5,000;3,000;4,000;3,000;5,000;8,000;5,000;9,000;9,000;5,000;176;3;
11.03.2000;;0,000;0,000;0,000;270,00;0;0;---;0,00;7,000;5,000;-1,0;-2,0;-2,0;4,000;2,000;2,000;6,000;8,000;3,000;0;180,000;135,000;270,000;45,000;172,00;13,000;3,000;4,000;3,000;5,000;0,000;0,000;0,000;0,000;0,000;185;13;
12.03.2000;;---;---;---;270,00;---;2;---;2,00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
13.03.2000;;0,000;0,000;0,000;180,00;0;2;---;2,00;0,000;4,000;-3,0;3,0;-3,0;1,000;1,000;1,000;3,000;4,000;3,000;0;225,000;180,000;180,000;315,000;169,00;10,000;3,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;179;0;
14.03.2000;;0,000;0,000;3,000;180,00;0;2;---;2,00;0,000;4,000;-3,0;6,0;-1,0;3,000;2,000;2,000;2,000;4,000;3,000;0;135,000;180,000;225,000;225,000;170,00;7,000;2,000;5,000;2,000;5,000;8,000;4,000;6,000;9,000;4,000;177;0;
15.03.2000;;0,000;0,000;72,000;180,00;1;2;---;2,00;7,000;3,000;0,0;1,0;-7,0;2,000;3,000;2,000;2,000;9,000;1,000;0;90,000;360,000;180,000;270,000;159,00;35,000;3,000;1,000;2,000;1,000;0,000;0,000;0,000;0,000;0,000;194;21;
16.03.2000;;0,000;0,000;74,000;---;1;4;---;4,00;8,000;3,000;-4,0;-7,0;-7,0;5,000;3,000;2,000;2,000;9,000;1,000;0;45,000;45,000;360,000;360,000;154,00;45,000;4,000;4,000;3,000;1,000;---;---;---;---;---;199;20;
17.03.2000;;0,000;0,000;74,000;---;1;3;---;3,00;8,000;5,000;-4,0;-5,0;-5,0;5,000;8,000;8,000;4,000;9,000;1,000;0;45,000;90,000;45,000;45,000;164,00;85,000;5,000;7,000;4,000;4,000;---;---;---;---;---;249;50;
18.03.2000;;0,000;0,000;74,000;180,00;1;3;---;3,00;8,000;3,000;-3,0;-5,0;-6,0;1,000;2,000;2,000;4,000;9,000;1,000;0;360,000;360,000;45,000;360,000;186,00;99,000;5,000;7,000;4,000;4,000;8,000;4,000;6,000;9,000;4,000;285;36;
19.03.2000;;0,000;0,000;72,000;180,00;1;3;---;3,00;1,000;5,000;-3,0;-5,0;-6,0;3,000;2,000;3,000;2,000;9,000;1,000;0;360,000;315,000;270,000;45,000;176,00;99,000;5,000;8,000;4,000;4,000;8,000;5,000;6,000;9,000;5,000;275;10;
20.03.2000;;0,000;0,000;0,000;---;0;2;---;2,00;7,000;3,000;-4,0;-5,0;-14,0;1,000;3,000;4,000;3,000;9,000;1,000;0;225,000;360,000;360,000;360,000;208,00;50,000;4,000;7,000;3,000;5,000;8,000;3,000;8,000;9,000;3,000;258;3;
21.03.2000;;0,000;0,000;0,000;180,00;0;---;0;0,00;0,000;4,000;-4,0;-4,0;-6,0;2,000;2,000;2,000;1,000;9,000;1,000;0;180,000;180,000;180,000;180,000;231,00;18,000;4,000;7,000;3,000;5,000;8,000;4,000;8,000;9,000;5,000;249;0;
22.03.2000;;0,000;0,000;0,000;225,00;0;---;3;3,00;0,000;4,000;-5,0;1,0;-4,0;3,000;2,000;2,000;1,000;9,000;1,000;0;180,000;180,000;180,000;180,000;228,00;12,000;3,000;5,000;2,000;5,000;2,000;3,000;8,000;9,000;3,000;240;0;
23.03.2000;;0,000;0,000;0,000;180,00;0;---;3;3,00;0,000;4,000;-5,0;5,0;-1,0;4,000;2,000;2,000;2,000;5,000;1,000;0;180,000;180,000;180,000;180,000;233,00;0,000;3,000;5,000;2,000;5,000;8,000;6,000;2,000;8,000;6,000;233;0;
24.03.2000;;0,000;0,000;3,000;---;0;---;3;3,00;0,000;4,000;-4,0;9,0;1,0;1,000;1,000;1,000;2,000;5,000;1,000;0;180,000;180,000;225,000;225,000;226,00;0,000;3,000;5,000;2,000;5,000;8,000;4,000;2,000;8,000;6,000;226;0;
25.03.2000;;0,000;0,000;45,000;---;0;2;---;2,00;1,000;4,000;-3,0;10,0;-2,0;2,000;1,000;0,000;1,000;5,000;1,000;0;315,000;315,000;---;180,000;219,00;3,000;3,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;222;3;
26.03.2000;;0,000;0,000;0,000;180,00;0;2;---;2,00;0,000;4,000;-4,0;5,0;-1,0;2,000;1,000;0,000;2,000;5,000;1,000;0;180,000;225,000;---;315,000;219,00;0,000;2,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;219;4;
27.03.2000;;0,000;0,000;71,000;225,00;0;3;---;3,00;7,000;4,000;0,0;6,0;-5,0;1,000;2,000;2,000;2,000;9,000;1,000;0;360,000;315,000;180,000;180,000;211,00;10,000;2,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;221;3;
28.03.2000;;0,000;0,000;2,000;180,00;0;3;---;3,00;7,000;3,000;-1,0;1,0;-6,0;2,000;2,000;2,000;1,000;9,000;1,000;0;180,000;315,000;360,000;315,000;205,00;30,000;3,000;5,000;2,000;5,000;8,000;7,000;8,000;9,000;9,000;235;20;
29.03.2000;;0,000;0,000;74,000;---;1;---;2;2,00;7,000;4,000;-1,0;1,0;-2,0;5,000;4,000;1,000;1,000;9,000;1,000;0;180,000;180,000;225,000;270,000;203,00;20,000;3,000;5,000;3,000;5,000;2,000;5,000;8,000;9,000;7,000;223;2;
30.03.2000;;0,000;0,000;2,000;180,00;0;---;1;1,00;7,000;4,000;-3,0;2,0;-5,0;2,000;6,000;5,000;6,000;5,000;3,000;0;360,000;180,000;180,000;180,000;219,00;0,000;2,000;7,000;2,000;5,000;2,000;2,000;6,000;8,000;4,000;219;5;
31.03.2000;;0,000;0,000;1,000;180,00;0;---;3;3,00;7,000;2,000;-3,0;-1,0;-5,0;4,000;3,000;2,000;2,000;5,000;3,000;0;135,000;135,000;360,000;360,000;218,00;0,000;2,000;7,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;218;0;
01.04.2000;;0,000;0,000;1,000;180,00;0;---;2;2,00;0,000;4,000;-3,0;4,0;-4,0;1,000;2,000;1,000;2,000;5,000;3,000;0;180,000;270,000;225,000;135,000;215,00;0,000;2,000;7,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;215;0;
02.04.2000;;0,000;0,000;0,000;180,00;0;---;0;0,00;7,000;3,000;-5,0;0,0;-9,0;2,000;1,000;1,000;1,000;9,000;1,000;0;180,000;360,000;360,000;315,000;215,00;6,000;2,000;7,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;221;6;
03.04.2000;;0,000;0,000;8,000;180,00;0;---;2;2,00;0,000;4,000;-1,0;5,0;3,0;8,000;3,000;1,000;1,000;5,000;1,000;0;180,000;180,000;180,000;180,000;214,00;0,000;3,000;5,000;2,000;5,000;3,000;3,000;6,000;8,000;4,000;214;0;
04.04.2000;;0,000;0,000;0,000;180,00;0;---;2;2,00;2,000;2,000;-2,0;6,0;2,0;4,000;4,000;5,000;6,000;5,000;1,000;0;180,000;225,000;180,000;180,000;209,00;0,000;3,000;5,000;2,000;5,000;8,000;3,000;9,000;9,000;4,000;209;0;
05.04.2000;;0,000;0,000;3,000;180,00;0;---;5;5,00;0,000;2,000;-2,0;4,0;-2,0;1,000;2,000;3,000;3,000;5,000;1,000;0;180,000;270,000;225,000;180,000;207,00;0,000;3,000;5,000;2,000;5,000;8,000;4,000;9,000;9,000;4,000;207;0;
06.04.2000;;0,000;0,000;71,000;180,00;0;4;---;4,00;7,000;4,000;-1,0;3,0;-3,0;2,000;2,000;0,000;2,000;9,000;1,000;0;360,000;360,000;---;315,000;203,00;20,000;3,000;1,000;2,000;1,000;0,000;0,000;0,000;0,000;0,000;223;16;
07.04.2000;;0,000;0,000;0,000;180,00;0;9;---;9,00;7,000;3,000;---;-1,0;-14,0;2,000;1,000;0,000;1,000;9,000;1,000;0;270,000;360,000;---;360,000;204,00;20,000;2,000;5,000;2,000;1,000;0,000;0,000;0,000;0,000;0,000;224;4;
08.04.2000;;0,000;0,000;3,000;180,00;0;9;---;9,00;0,000;4,000;---;2,0;-6,0;2,000;2,000;1,000;2,000;9,000;1,000;0;135,000;360,000;180,000;180,000;206,00;10,000;2,000;5,000;1,000;5,000;0,000;0,000;0,000;0,000;0,000;216;0;
09.04.2000;;0,000;0,000;0,000;315,00;0;6;---;6,00;0,000;4,000;---;3,0;-3,0;3,000;2,000;2,000;2,000;5,000;1,000;0;180,000;180,000;180,000;180,000;212,00;0,000;2,000;5,000;1,000;5,000;0,000;0,000;0,000;0,000;0,000;212;0;
10.04.2000;;0,000;0,000;3,000;315,00;0;6;---;6,00;0,000;4,000;-2,0;7,0;-3,0;2,000;2,000;2,000;2,000;5,000;1,000;0;225,000;225,000;225,000;225,000;209,00;0,000;2,000;5,000;1,000;5,000;8,000;2,000;2,000;7,000;6,000;209;0;
11.04.2000;;0,000;0,000;2,000;315,00;0;5;---;5,00;1,000;4,000;-1,0;6,0;-3,0;2,000;2,000;2,000;1,000;5,000;1,000;0;270,000;225,000;360,000;180,000;207,00;0,000;2,000;5,000;1,000;5,000;8,000;2,000;2,000;8,000;6,000;207;0;
12.04.2000;;0,000;0,000;8,000;270,00;0;5;---;5,00;1,000;4,000;-1,0;7,0;1,0;6,000;5,000;3,000;2,000;5,000;3,000;0;180,000;180,000;225,000;180,000;204,00;0,000;3,000;5,000;1,000;5,000;8,000;2,000;6,000;6,000;6,000;204;0;
13.04.2000;;0,000;0,000;71,000;270,00;0;5;---;5,00;7,000;2,000;-1,0;3,0;-1,0;6,000;3,000;2,000;3,000;9,000;1,000;0;180,000;180,000;360,000;225,000;197,00;15,000;3,000;5,000;1,000;5,000;8,000;2,000;6,000;4,000;6,000;212;8;
14.04.2000;;---;---;---;270,00;---;6;---;6,00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
15.04.2000;;---;---;---;180,00;---;6;---;6,00;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
